DateTime,open,close,high,low
2022-03-24 08:13:35,446.68,446.64,446.7,446.61
2022-03-24 08:13:40,446.64,446.56,446.67,446.52
2022-03-24 08:13:45,446.56,446.48,446.57,446.46
2022-03-24 08:13:50,446.48,446.45,446.51,446.44
2022-03-24 08:13:55,446.45,446.41,446.45,446.41
2022-03-24 08:14:00,446.41,446.34,446.43,446.33
2022-03-24 08:14:05,446.34,446.25,446.35,446.22
2022-03-24 08:14:10,446.25,446.3,446.31,446.24
2022-03-24 08:14:15,446.3,446.36,446.36,446.28
2022-03-24 08:14:20,446.36,446.33,446.4,446.32
2022-03-24 08:14:25,446.33,446.35,446.38,446.3
2022-03-24 08:14:30,446.35,446.44,446.47,446.34
2022-03-24 08:14:35,446.44,446.52,446.54,446.43
2022-03-24 08:14:40,446.52,446.52,446.54,446.49
2022-03-24 08:14:45,446.52,446.5,446.53,446.44
2022-03-24 08:14:50,446.5,446.41,446.52,446.4
2022-03-24 08:14:55,446.41,446.47,446.48,446.41
2022-03-24 08:15:00,446.47,446.42,446.53,446.42
2022-03-24 08:15:05,446.42,446.44,446.45,446.37
2022-03-24 08:15:10,446.44,446.54,446.55,446.4
2022-03-24 08:15:15,446.54,446.53,446.58,446.52
2022-03-24 08:15:20,446.53,446.49,446.55,446.46
2022-03-24 08:15:25,446.49,446.42,446.5,446.41
2022-03-24 08:15:30,446.42,446.45,446.46,446.36
2022-03-24 08:15:35,446.45,446.42,446.47,446.38
2022-03-24 08:15:40,446.42,446.44,446.45,446.37
2022-03-24 08:15:45,446.44,446.49,446.52,446.42
2022-03-24 08:15:50,446.49,446.54,446.56,446.46
2022-03-24 08:15:55,446.54,446.46,446.55,446.46
2022-03-24 08:16:00,446.46,446.34,446.46,446.31
2022-03-24 08:16:05,446.34,446.3,446.34,446.29
2022-03-24 08:16:10,446.3,446.32,446.34,446.25
2022-03-24 08:16:15,446.32,446.24,446.33,446.23
2022-03-24 08:16:20,446.24,446.22,446.26,446.21
2022-03-24 08:16:25,446.22,446.18,446.23,446.16
2022-03-24 08:16:30,446.18,446.18,446.23,446.15
2022-03-24 08:16:35,446.18,446.16,446.22,446.14
2022-03-24 08:16:40,446.16,446.21,446.21,446.14
2022-03-24 08:16:45,446.21,446.24,446.25,446.2
2022-03-24 08:16:50,446.24,446.2,446.25,446.15
2022-03-24 08:16:55,446.2,446.2,446.22,446.18
2022-03-24 08:17:00,446.2,446.27,446.3,446.2
2022-03-24 08:17:05,446.27,446.23,446.27,446.2
2022-03-24 08:17:10,446.23,446.26,446.27,446.2
2022-03-24 08:17:15,446.26,446.24,446.29,446.23
2022-03-24 08:17:20,446.24,446.23,446.27,446.2
2022-03-24 08:17:25,446.23,446.23,446.26,446.18
2022-03-24 08:17:30,446.23,446.18,446.24,446.16
2022-03-24 08:17:35,446.18,446.2,446.23,446.14
2022-03-24 08:17:40,446.2,446.18,446.21,446.15
2022-03-24 08:17:45,446.18,446.16,446.18,446.14
2022-03-24 08:17:50,446.16,445.92,446.18,445.9
2022-03-24 08:17:55,445.92,445.9,445.93,445.83
2022-03-24 08:18:00,445.9,445.88,445.93,445.85
2022-03-24 08:18:05,445.88,445.93,445.95,445.86
2022-03-24 08:18:10,445.93,445.87,445.96,445.84
2022-03-24 08:18:15,445.87,445.69,445.88,445.67
2022-03-24 08:18:20,445.69,445.65,445.71,445.64
2022-03-24 08:18:25,445.65,445.56,445.66,445.53
2022-03-24 08:18:30,445.56,445.55,445.57,445.47
2022-03-24 08:18:35,445.55,445.54,445.56,445.51
2022-03-24 08:18:40,445.54,445.53,445.61,445.51
2022-03-24 08:18:45,445.53,445.59,445.59,445.53
2022-03-24 08:18:50,445.59,445.55,445.63,445.51
2022-03-24 08:18:55,445.55,445.52,445.59,445.51
2022-03-24 08:19:00,445.52,445.48,445.55,445.47
2022-03-24 08:19:05,445.48,445.48,445.53,445.44
2022-03-24 08:19:10,445.48,445.45,445.48,445.43
2022-03-24 08:19:15,445.45,445.39,445.45,445.39
2022-03-24 08:19:20,445.39,445.49,445.51,445.37
2022-03-24 08:19:25,445.49,445.49,445.56,445.47
2022-03-24 08:19:30,445.49,445.56,445.57,445.47
2022-03-24 08:19:35,445.56,445.57,445.59,445.52
2022-03-24 08:19:40,445.57,445.53,445.6,445.52
2022-03-24 08:19:45,445.53,445.58,445.63,445.53
2022-03-24 08:19:50,445.58,445.6,445.61,445.58
2022-03-24 08:19:55,445.6,445.63,445.63,445.59
2022-03-24 08:20:00,445.63,445.76,445.77,445.62
2022-03-24 08:20:05,445.76,445.75,445.84,445.74
2022-03-24 08:20:10,445.75,445.8,445.82,445.72
2022-03-24 08:20:15,445.8,445.78,445.8,445.74
2022-03-24 08:20:20,445.78,445.74,445.81,445.71
2022-03-24 08:20:25,445.74,445.72,445.77,445.71
2022-03-24 08:20:30,445.72,445.61,445.75,445.59
2022-03-24 08:20:35,445.61,445.57,445.61,445.55
2022-03-24 08:20:40,445.57,445.59,445.6,445.55
2022-03-24 08:20:45,445.59,445.45,445.59,445.44
2022-03-24 08:20:50,445.45,445.47,445.49,445.4
2022-03-24 08:20:55,445.47,445.56,445.56,445.45
2022-03-24 08:21:00,445.56,445.62,445.65,445.55
2022-03-24 08:21:05,445.62,445.62,445.72,445.61
2022-03-24 08:21:10,445.62,445.58,445.62,445.51
2022-03-24 08:21:15,445.58,445.55,445.62,445.54
2022-03-24 08:21:20,445.55,445.55,445.58,445.54
2022-03-24 08:21:25,445.55,445.58,445.58,445.49
2022-03-24 08:21:30,445.58,445.64,445.65,445.55
2022-03-24 08:21:35,445.64,445.63,445.67,445.61
2022-03-24 08:21:40,445.63,445.66,445.67,445.62
2022-03-24 08:21:45,445.66,445.73,445.74,445.65
2022-03-24 08:21:50,445.73,445.8,445.84,445.73
2022-03-24 08:21:55,445.8,445.72,445.83,445.71
2022-03-24 08:22:00,445.72,445.84,445.88,445.71
2022-03-24 08:22:05,445.84,445.8,445.86,445.8
